id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
815344567675338752,815344567675338752,2016-12-31 18:51:07 EST,2016-12-31,18:51:07,-0400,36051473,dcomtois,David Comtois,"{'type': 'Point', 'coordinates': [42.76069511, -71.15806931]}",Baked mozzarella pizza sticks! @ Chez Peterson  https://t.co/yjIpvndrhh,it,[],['https://www.instagram.com/p/BOs1pHGBBbF/'],[],0,0,0,[],[],https://twitter.com/dcomtois/status/815344567675338752,False,,0,,,"43.193852,-71.572395,200mi",,,,,[],,,,
815339373541658624,815339373541658624,2016-12-31 18:30:29 EST,2016-12-31,18:30:29,-0400,150892313,boston_brewins,Boston_Brewins,"{'type': 'Point', 'coordinates': [42.5212, -70.8962]}",Drinking a Double Dry Hopped Farmers Table by @kentfallsbc @ Flying Saucer Pizza Company —  https://t.co/0rfZrKRWfA,en,"[{'screen_name': 'kentfallsbc', 'name': 'kent falls brewing', 'id': '1454738048'}]",['http://untp.beer/s/c401309276'],[],0,0,0,[],[],https://twitter.com/Boston_Brewins/status/815339373541658624,False,,0,,,"43.193852,-71.572395,200mi",,,,,[],,,,
815338568763736064,815338568763736064,2016-12-31 18:27:17 EST,2016-12-31,18:27:17,-0400,17324901,nathanography,Nathan Fitch,"{'type': 'Point', 'coordinates': [42.288124, -71.802588]}",NYE 🍕 (@ DaCosta's Neapolitan Pizza Bakery)  https://t.co/IQjhYA4XIf,en,[],['https://www.swarmapp.com/c/lxYCVNymmj7'],[],0,0,0,[],[],https://twitter.com/nathanography/status/815338568763736064,False,,0,,,"43.193852,-71.572395,200mi",,,,,[],,,,
815338245655592961,815338245655592961,2016-12-31 18:26:00 EST,2016-12-31,18:26:00,-0400,63159367,andyse7en,Andy Se7en,"{'type': 'Point', 'coordinates': [43.90475477, -69.81597187]}",My munchkin  #babylove @ The Cabin Pizza  https://t.co/Taq72QgPqQ,en,[],['https://www.instagram.com/p/BOsyxNqg_zwb-21aJEAUoFa6soqmoEGM9io6x00/'],[],0,0,0,['babylove'],[],https://twitter.com/andyse7en/status/815338245655592961,False,,0,,,"43.193852,-71.572395,200mi",,,,,[],,,,
815335793854136320,815335793854136320,2016-12-31 18:16:16 EST,2016-12-31,18:16:16,-0400,2317319823,bigbadbruins14,BigBadBruins14,"{'type': 'Point', 'coordinates': [41.67558339, -71.16286509]}",You all know I #love #tacos lol @ Taco Bell  https://t.co/BalMbww3U4,en,[],['https://www.instagram.com/p/BOsxp2WjkeR/'],[],1,0,0,"['love', 'tacos']",[],https://twitter.com/BigBADBruins14/status/815335793854136320,False,,0,,,"43.193852,-71.572395,200mi",,,,,[],,,,
815335290843922432,815335290843922432,2016-12-31 18:14:16 EST,2016-12-31,18:14:16,-0400,63159367,andyse7en,Andy Se7en,"{'type': 'Point', 'coordinates': [43.90475477, -69.81597187]}",Just posted a photo @ The Cabin Pizza  https://t.co/xl0tWwCF6w,en,[],['https://www.instagram.com/p/BOsxbQzgYhiNHeEzRRgxowgLoaP6ckIxGa9EfI0/'],[],0,0,0,[],[],https://twitter.com/andyse7en/status/815335290843922432,False,,0,,,"43.193852,-71.572395,200mi",,,,,[],,,,
815334182066888705,815334182066888705,2016-12-31 18:09:51 EST,2016-12-31,18:09:51,-0400,58207385,bigjonshort,Jon Short,"{'type': 'Point', 'coordinates': [42.25647, -71.79764]}",NYE: Pizza Night! @ BirchTree Bread Company  https://t.co/31f2mCIfPo,en,[],['https://www.instagram.com/p/BOsw60KBd1w/'],[],0,0,1,[],[],https://twitter.com/bigjonshort/status/815334182066888705,False,,0,,,"43.193852,-71.572395,200mi",,,,,[],,,,
815334130556796929,815334130556796929,2016-12-31 18:09:39 EST,2016-12-31,18:09:39,-0400,15625911,annmargrock,annmargrock,"{'type': 'Point', 'coordinates': [41.42942445, -74.16298019]}",A little pre-party dinner @ Brother Bruno Pizza  https://t.co/9W2XY20ScT,en,[],['https://www.instagram.com/p/BOsw5aTDamnWdPHzkmka_GsI62agA5Z8OLmB9U0/'],[],0,0,0,[],[],https://twitter.com/annmargrock/status/815334130556796929,False,,0,,,"43.193852,-71.572395,200mi",,,,,[],,,,
815332547282534400,815332547282534400,2016-12-31 18:03:22 EST,2016-12-31,18:03:22,-0400,51123308,ridining,Stacey Place,"{'type': 'Point', 'coordinates': [41.81742783, -71.42451825]}","Happy New Year!!  Kicking it off with pizza! (@ Pizza J in Providence, RI)  https://t.co/AkzTke5OxT",en,[],['https://www.swarmapp.com/c/9aqYH99Mkw1'],[],0,0,0,[],[],https://twitter.com/ridining/status/815332547282534400,False,,0,,,"43.193852,-71.572395,200mi",,,,,[],,,,
815331914089426944,815331914089426944,2016-12-31 18:00:51 EST,2016-12-31,18:00:51,-0400,16495447,lukemv,Luke M. Vaillancourt,"{'type': 'Point', 'coordinates': [42.28801, -71.80269]}",Forget Chinese. #nye with dacostaspizzabakery @ Dacosta's Pizza Bakery  https://t.co/BPTLMZbkEx,en,[],['https://www.instagram.com/p/BOsv49qAH9r/'],[],0,0,0,['nye'],[],https://twitter.com/lukeMV/status/815331914089426944,False,,0,,,"43.193852,-71.572395,200mi",,,,,[],,,,
